
dfdss,sa,dsa,,4,calcado
dfdss,sa,dsa,,4,calcado
dfdss,sa,dsa,,4,calcado
dfdss,sa,dsa,,4,calcado
dfdss,sa,dsa,nao,4,calcado
dsadsa,dsadsa,dsadsadsa,sim,1,
dsadsa,dsadsa,dsadsadsa,sim,1,construcao
dsadsa,dsadsa,dsadsadsa,sim,1,calcado
dsadsa,dsadsa,dsadsadsa,sim,1,construcao
dsadsa,dsadsa,dsadsadsa,sim,1,construcao
dsadsa,dsadsa,dsadsadsa,sim,1,construcao
dsadsa,dsadsa,dsadsadsa,sim,1,construcao
dsadsa,dsadsa,dsadsadsa,sim,1,construcao
dsadsa,dsadsa,dsadsadsa,sim,1,
ds,dfs,df,sim,1,
ds,dfs,df,sim,1,
ds,dfs,df,sim,1,calcado
ds,dfs,df,sim,1,calcado
ds,dfs,df,sim,1,calcado
ds,dfs,df,sim,1,calcado
